Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment_Score,Customer_Segment
1,288,3,6290,2,1,1,211,4,At Risk
2,72,6,16481,4,3,3,433,10,Loyal / VIP
3,222,4,9423,2,2,2,222,6,Potential Loyal
4,441,5,7826,1,2,1,121,4,At Risk
5,424,5,9769,1,2,2,122,5,At Risk
6,140,9,25428,3,4,4,344,11,Loyal / VIP
7,141,8,17825,3,4,3,343,10,Loyal / VIP
8,25,7,16245,4,4,3,443,11,Loyal / VIP
9,140,7,24621,3,4,4,344,11,Loyal / VIP
10,130,8,20672,3,4,4,344,11,Loyal / VIP
11,102,8,17730,3,4,3,343,10,Loyal / VIP
12,113,7,16756,3,4,3,343,10,Loyal / VIP
13,258,5,13798,2,2,3,223,7,Potential Loyal
14,263,5,14119,2,2,3,223,7,Potential Loyal
15,81,5,16533,3,2,3,323,8,Potential Loyal
16,104,3,7196,3,1,1,311,5,At Risk
17,102,8,22968,3,4,4,344,11,Loyal / VIP
18,426,2,4859,1,1,1,111,3,Lost
19,517,5,12232,1,2,2,122,5,At Risk
20,76,4,17443,4,2,3,423,9,Loyal / VIP
21,265,5,10598,2,2,2,222,6,Potential Loyal
22,13,5,14137,4,2,3,423,9,Loyal / VIP
23,134,7,18733,3,4,4,344,11,Loyal / VIP
24,144,4,11413,3,2,2,322,7,Potential Loyal
25,353,3,9876,2,1,2,212,5,At Risk
26,184,3,9845,3,1,2,312,6,Potential Loyal
27,238,4,12554,2,2,2,222,6,Potential Loyal
28,308,4,16765,2,2,3,223,7,Potential Loyal
29,571,5,13240,1,2,3,123,6,Potential Loyal
30,57,4,8047,4,2,1,421,7,Potential Loyal
31,153,6,16430,3,3,3,333,9,Loyal / VIP
32,863,5,11953,1,2,2,122,5,At Risk
33,486,7,24987,1,4,4,144,9,Loyal / VIP
34,300,1,658,2,1,1,211,4,At Risk
35,269,8,24174,2,4,4,244,10,Loyal / VIP
36,25,4,11107,4,2,2,422,8,Potential Loyal
37,32,8,15557,4,4,3,443,11,Loyal / VIP
38,236,4,11437,2,2,2,222,6,Potential Loyal
39,472,7,20951,1,4,4,144,9,Loyal / VIP
40,277,6,16453,2,3,3,233,8,Potential Loyal
41,234,7,25741,2,4,4,244,10,Loyal / VIP
42,19,6,18931,4,3,4,434,11,Loyal / VIP
43,120,5,17364,3,2,3,323,8,Potential Loyal
44,68,4,11927,4,2,2,422,8,Potential Loyal
45,20,7,23309,4,4,4,444,12,Loyal / VIP
46,145,8,22536,3,4,4,344,11,Loyal / VIP
47,240,8,18507,2,4,4,244,10,Loyal / VIP
48,24,3,11983,4,1,2,412,7,Potential Loyal
49,795,2,6868,1,1,1,111,3,Lost
50,198,4,11595,2,2,2,222,6,Potential Loyal
51,319,11,29769,2,4,4,244,10,Loyal / VIP
52,82,8,18753,3,4,4,344,11,Loyal / VIP
53,170,4,8902,3,2,2,322,7,Potential Loyal
54,120,5,15001,3,2,3,323,8,Potential Loyal
55,271,5,15117,2,2,3,223,7,Potential Loyal
56,539,4,11599,1,2,2,122,5,At Risk
57,323,5,17134,2,2,3,223,7,Potential Loyal
58,156,4,6959,3,2,1,321,6,Potential Loyal
59,56,7,26988,4,4,4,444,12,Loyal / VIP
60,292,8,19803,2,4,4,244,10,Loyal / VIP
61,87,4,6388,3,2,1,321,6,Potential Loyal
62,486,3,11855,1,1,2,112,4,At Risk
63,363,6,23109,2,3,4,234,9,Loyal / VIP
64,706,3,6620,1,1,1,111,3,Lost
65,66,6,12404,4,3,2,432,9,Loyal / VIP
66,47,6,18045,4,3,4,434,11,Loyal / VIP
67,295,2,5269,2,1,1,211,4,At Risk
68,835,3,10642,1,1,2,112,4,At Risk
69,225,3,8622,2,1,1,211,4,At Risk
70,5,9,24074,4,4,4,444,12,Loyal / VIP
71,429,2,2540,1,1,1,111,3,Lost
72,165,7,17152,3,4,3,343,10,Loyal / VIP
73,570,2,5460,1,1,1,111,3,Lost
74,131,5,9391,3,2,2,322,7,Potential Loyal
75,208,3,7176,2,1,1,211,4,At Risk
76,102,2,8123,3,1,1,311,5,At Risk
77,778,2,4495,1,1,1,111,3,Lost
78,598,4,10920,1,2,2,122,5,At Risk
79,790,3,7066,1,1,1,111,3,Lost
80,349,10,22648,2,4,4,244,10,Loyal / VIP
81,346,5,12760,2,2,2,222,6,Potential Loyal
82,98,4,6949,3,2,1,321,6,Potential Loyal
83,158,8,16211,3,4,3,343,10,Loyal / VIP
84,69,3,2557,4,1,1,411,6,Potential Loyal
85,253,7,16901,2,4,3,243,9,Loyal / VIP
86,272,6,12123,2,3,2,232,7,Potential Loyal
87,243,2,5436,2,1,1,211,4,At Risk
88,418,5,11135,1,2,2,122,5,At Risk
89,1,7,18361,4,4,4,444,12,Loyal / VIP
90,0,6,14780,4,3,3,433,10,Loyal / VIP
91,91,6,14816,3,3,3,333,9,Loyal / VIP
92,263,3,11784,2,1,2,212,5,At Risk
93,297,3,10025,2,1,2,212,5,At Risk
94,87,6,15378,3,3,3,333,9,Loyal / VIP
95,108,4,9736,3,2,2,322,7,Potential Loyal
96,1,7,22981,4,4,4,444,12,Loyal / VIP
97,233,3,6636,2,1,1,211,4,At Risk
98,221,6,20950,2,3,4,234,9,Loyal / VIP
99,659,4,11211,1,2,2,122,5,At Risk
100,22,8,19950,4,4,4,444,12,Loyal / VIP
101,121,8,27360,3,4,4,344,11,Loyal / VIP
102,963,1,1259,1,1,1,111,3,Lost
103,88,7,24077,3,4,4,344,11,Loyal / VIP
104,541,4,13848,1,2,3,123,6,Potential Loyal
105,214,4,7530,2,2,1,221,5,At Risk
106,55,3,8311,4,1,1,411,6,Potential Loyal
107,300,4,8393,2,2,1,221,5,At Risk
108,261,11,31386,2,4,4,244,10,Loyal / VIP
109,107,5,18510,3,2,4,324,9,Loyal / VIP
110,458,3,3558,1,1,1,111,3,Lost
111,321,5,9692,2,2,2,222,6,Potential Loyal
112,559,2,4378,1,1,1,111,3,Lost
113,331,4,7328,2,2,1,221,5,At Risk
114,694,5,11568,1,2,2,122,5,At Risk
115,198,7,13470,2,4,3,243,9,Loyal / VIP
116,35,4,11725,4,2,2,422,8,Potential Loyal
117,28,6,22130,4,3,4,434,11,Loyal / VIP
118,212,6,17754,2,3,3,233,8,Potential Loyal
119,434,6,18014,1,3,4,134,8,Potential Loyal
120,258,5,10470,2,2,2,222,6,Potential Loyal
121,498,5,13615,1,2,3,123,6,Potential Loyal
122,141,5,18104,3,2,4,324,9,Loyal / VIP
123,26,3,12829,4,1,2,412,7,Potential Loyal
124,707,2,2308,1,1,1,111,3,Lost
125,36,6,17497,4,3,3,433,10,Loyal / VIP
126,613,3,12680,1,1,2,112,4,At Risk
127,951,1,3872,1,1,1,111,3,Lost
128,381,2,3931,1,1,1,111,3,Lost
129,192,6,14527,2,3,3,233,8,Potential Loyal
130,164,4,15849,3,2,3,323,8,Potential Loyal
131,542,4,6668,1,2,1,121,4,At Risk
132,244,3,10091,2,1,2,212,5,At Risk
133,6,8,25725,4,4,4,444,12,Loyal / VIP
134,185,4,12344,3,2,2,322,7,Potential Loyal
135,252,6,13476,2,3,3,233,8,Potential Loyal
136,369,8,22890,2,4,4,244,10,Loyal / VIP
137,494,8,24134,1,4,4,144,9,Loyal / VIP
138,231,2,2907,2,1,1,211,4,At Risk
139,66,7,15036,4,4,3,443,11,Loyal / VIP
140,136,3,8230,3,1,1,311,5,At Risk
141,328,9,26395,2,4,4,244,10,Loyal / VIP
142,465,2,4184,1,1,1,111,3,Lost
143,178,8,22505,3,4,4,344,11,Loyal / VIP
144,52,6,17553,4,3,3,433,10,Loyal / VIP
145,142,10,26432,3,4,4,344,11,Loyal / VIP
146,793,2,9457,1,1,2,112,4,At Risk
147,146,7,14477,3,4,3,343,10,Loyal / VIP
148,73,2,6506,4,1,1,411,6,Potential Loyal
149,201,6,17913,2,3,3,233,8,Potential Loyal
150,21,1,1743,4,1,1,411,6,Potential Loyal
151,66,8,10760,4,4,2,442,10,Loyal / VIP
152,269,4,14097,2,2,3,223,7,Potential Loyal
153,399,7,18398,1,4,4,144,9,Loyal / VIP
154,8,11,31167,4,4,4,444,12,Loyal / VIP
155,28,6,17420,4,3,3,433,10,Loyal / VIP
156,113,5,16715,3,2,3,323,8,Potential Loyal
157,43,8,23819,4,4,4,444,12,Loyal / VIP
158,338,4,7295,2,2,1,221,5,At Risk
159,82,3,4391,3,1,1,311,5,At Risk
160,902,2,8840,1,1,2,112,4,At Risk
161,67,5,18246,4,2,4,424,10,Loyal / VIP
162,976,4,13299,1,2,3,123,6,Potential Loyal
163,643,4,9704,1,2,2,122,5,At Risk
164,992,4,7890,1,2,1,121,4,At Risk
165,169,6,14544,3,3,3,333,9,Loyal / VIP
166,357,9,29342,2,4,4,244,10,Loyal / VIP
167,468,4,8508,1,2,1,121,4,At Risk
169,176,8,15868,3,4,3,343,10,Loyal / VIP
170,43,8,24385,4,4,4,444,12,Loyal / VIP
171,429,1,4206,1,1,1,111,3,Lost
172,451,6,10493,1,3,2,132,6,Potential Loyal
173,158,5,15597,3,2,3,323,8,Potential Loyal
174,39,2,3347,4,1,1,411,6,Potential Loyal
175,224,4,10189,2,2,2,222,6,Potential Loyal
176,16,7,13361,4,4,3,443,11,Loyal / VIP
177,91,4,12377,3,2,2,322,7,Potential Loyal
178,149,9,21604,3,4,4,344,11,Loyal / VIP
179,9,5,20456,4,2,4,424,10,Loyal / VIP
180,60,1,473,4,1,1,411,6,Potential Loyal
181,237,3,7779,2,1,1,211,4,At Risk
182,33,7,17243,4,4,3,443,11,Loyal / VIP
183,262,3,5468,2,1,1,211,4,At Risk
184,98,9,26985,3,4,4,344,11,Loyal / VIP
